link,iconUrl,title,Gem,Active Point
https://t.me/captcha_airdrop_bot/start?startapp=1231641802&startApp=1231641802,https://i.imgur.com/XLcS9YS.jpg,Join CAPtcha Bot & earn $CAP,100,500
https://t.me/loafcat_game_bot/?startapp=ref_8id4zc7l9ott,https://i.imgur.com/HdiAXLl.jpg,Play Loafcat Bot,100,500
https://t.me/TopDawgGame_bot?start=utm_679c3732a60c184f0af5ce9c,https://i.imgur.com/cWGO0lV.jpg,Play Top Dawg and Win Big!,100,500
https://t.me/whiskrabot?startapp=dc1a23f9dd3c495cb34ada87f07a1a03,https://i.imgur.com/ssM1bWQ.jpg,Join Whiskra Earn Free Sol,100,500
https://t.me/hopium_official_bot/join?startapp=linkCode_HOP414105,https://i.imgur.com/fSGJiRw.jpg,Join HOPIUM! ,100,500
https://t.me/KumaJumpBot/KumaJump?startapp=CTCYQEEHN,https://i.imgur.com/1iSkkIr.jpg,Play Kuma Jump! ,100,500
https://t.me/NotMushCoin_bot/play?startapp=m_5566456612,https://i.imgur.com/HlUCP2h.jpg,Play Mushroom Warrior,100,500
https://t.me/Pokemonn_Ton_Bot/app?startapp=TH6UEA,https://i.imgur.com/MA1fOni.jpg,Earn USDT on Poke Center,100,500
https://t.me/masterversess_bot/Masterverses?startapp=7913885852,https://i.imgur.com/iIjWfsw.jpg,Join Masterverses,100,500
https://t.me/cyborg_telegram_bot/cyborg?startapp=eyJyZWZDb2RlIjoiVEw0NVpaRkQ0SCJ9,https://i.imgur.com/Yg2B8aU.png,Join Cyborg Play-to-Airdrop,200,1000
https://x.com/thesharks_emoji?s=21,https://i.imgur.com/8DOicZl.jpg,Follow SHARKS For $SHARKS Airdrop!,100,500
